56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, 1
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, 1
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, 1
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, 1
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, 1
4.0, 45.0, 48.0, 5.0, 38.0, 22.0, 0.0, 1
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, 1
32.0, 42.0, 48.0, 5.0, 35.0, 28.0, 38.0, 1
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, 1
44.0, 35.0, 48.0, 5.0, 55.0, 55.0, 61.0, 1
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, 1
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, 1
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, 1
36.0, 41.0, 48.0, 5.0, 48.0, 47.0, 54.0, 1
24.0, 43.0, 48.0, 5.0, 54.0, 52.0, 59.0, 1
25.0, 37.0, 48.0, 5.0, 41.0, 33.0, 42.0, 1
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, 1
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, 1
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, 1
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, 1
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, 1
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, 1
49.0, 43.0, 48.0, 5.0, 49.0, 3.0, 4.0, 1
35.0, 34.0, 48.0, 5.0, 46.0, 3.0, 27.0, 1
51.0, 49.0, 48.0, 5.0, 53.0, 14.0, 26.0, 1
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, 1
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, 1
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, 1
3.0, 37.0, 48.0, 5.0, 43.0, 18.0, 3.0, 1
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, 2
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, 2
4.0, 5.0, 48.0, 5.0, 65.0, 82.0, 84.0, 2
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, 2
33.0, 56.0, 48.0, 5.0, 33.0, 78.0, 8.0, 2
64.0, 58.0, 48.0, 5.0, 48.0, 78.0, 73.0, 2
33.0, 45.0, 48.0, 5.0, 45.0, 88.0, 89.0, 2
71.0, 4.0, 48.0, 5.0, 71.0, 7.0, 74.0, 2
66.0, 53.0, 48.0, 5.0, 59.0, 66.0, 66.0, 2
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, 2
6.0, 5.0, 1.0, 5.0, 54.0, 77.0, 8.0, 2
6.0, 46.0, 48.0, 5.0, 45.0, 81.0, 83.0, 2
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, 2
11.0, 5.0, 48.0, 5.0, 58.0, 72.0, 68.0, 2
61.0, 47.0, 48.0, 5.0, 0.0, 8.0, 32.0, 2
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, 4
78.0, 33.0, 48.0, 5.0, 57.0, 77.0, 79.0, 5
59.0, 29.0, 48.0, 5.0, 64.0, 75.0, 77.0, 5
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, 5
76.0, 71.0, 48.0, 5.0, 5.0, 71.0, 75.0, 5
77.0, 55.0, 48.0, 5.0, 51.0, 78.0, 74.0, 5
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, 5
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, 5
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, 6
65.0, 51.0, 48.0, 5.0, 66.0, 54.0, 33.0, 6
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, 6
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, 6
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, 7
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, 8
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, 8
67.0, 81.0, 48.0, 5.0, 25.0, 42.0, 25.0, 8
63.0, 57.0, 48.0, 5.0, 49.0, 7.0, 2.0, 8
71.0, 86.0, 48.0, 5.0, 4.0, 54.0, 32.0, 8
68.0, 78.0, 48.0, 5.0, 43.0, 44.0, 42.0, 8
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, 8
66.0, 71.0, 48.0, 5.0, 41.0, 5.0, 35.0, 8
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, 8
43.0, 59.0, 48.0, 5.0, 52.0, 49.0, 56.0, 8
